"Sample","Group3","LAMP2","STAG2","LAMP2_log2FC","LAMP2_foldchange","STAG2_log2FC","STAG2_foldchange","LAMP2_pval","STAG2_pval"
"GSM363193","Control",8.5505,6.495,0.190811363636364,1.14140545545176,-0.267840909090909,0.830561607906117,2.54e-06,2.43e-11
"GSM363195","Control",8.324,6.247,-0.035688636363636,0.975565986266645,-0.515840909090909,0.69938516070718,2.54e-06,2.43e-11
"GSM363197","Control",8.6755,6.246,0.315811363636364,1.24471147527645,-0.516840909090909,0.698900551826953,2.54e-06,2.43e-11
"GSM363199","Control",8.533,6.799,0.173311363636365,1.12764375489264,0.0361590909090914,1.02538030384227,2.54e-06,2.43e-11
"GSM363201","Control",8.2045,7.111,-0.155188636363636,0.898014947271125,0.348159090909091,1.27293529845919,2.54e-06,2.43e-11
"GSM363203","Control",8.559,6.995,0.199311363636363,1.14815018183869,0.232159090909091,1.17459149028724,2.54e-06,2.43e-11
"GSM363206","Control",8.6275,6.888,0.267811363636365,1.20397994723375,0.125159090909091,1.09062799330777,2.54e-06,2.43e-11
"GSM363208","Control",9.033,6.759,0.673311363636364,1.59472909169449,-0.00384090909090862,0.997341225511292,2.54e-06,2.43e-11
"GSM363210","Control",8.723,7.083,0.363311363636365,1.28637508000715,0.320159090909091,1.24846821416467,2.54e-06,2.43e-11
"GSM363212","Control",8.917,6.68,0.557311363636364,1.4715242971777,-0.0828409090909092,0.944196533185869,2.54e-06,2.43e-11
"GSM363214","Control",8.686,6.85,0.326311363636364,1.25380358816945,0.0871590909090907,1.06227632087452,2.54e-06,2.43e-11
"GSM363216","Control",8.805,7.387,0.445311363636364,1.36160794814381,0.624159090909091,1.54131217310285,2.54e-06,2.43e-11
"GSM363219","Control",8.4065,6.895,0.0468113636363654,1.03297931395365,0.132159090909091,1.09593261201638,2.54e-06,2.43e-11
"GSM363221","Control",8.559,7.028,0.199311363636363,1.14815018183869,0.265159090909091,1.20176856534408,2.54e-06,2.43e-11
"GSM363223","Control",8.518,6.317,0.158311363636365,1.11598014809454,-0.445840909090909,0.734156271472727,2.54e-06,2.43e-11
"GSM363225","Control",8.306,6.716,-0.0536886363636366,0.963469808433742,-0.0468409090909088,0.968053771603462,2.54e-06,2.43e-11
"GSM363227","Control",8.5555,6.431,0.195811363636365,1.14536812814046,-0.331840909090909,0.794522009920896,2.54e-06,2.43e-11
"GSM363229","Control",8.0985,6.282,-0.261188636363636,0.834400173893837,-0.480840909090909,0.716559838330434,2.54e-06,2.43e-11
"GSM363231","Control",8.619,7.177,0.259311363636364,1.19690725287034,0.414159090909091,1.33252175871545,2.54e-06,2.43e-11
"GSM363233","Control",8.4125,6.578,0.0528113636363656,1.03728429990951,-0.184840909090909,0.87974608317868,2.54e-06,2.43e-11
"GSM363234","Control",8.594,6.946,0.234311363636364,1.17634510266918,0.183159090909091,1.13536729607227,2.54e-06,2.43e-11
"GSM363236","Control",8.4845,7.745,0.124811363636365,1.09036515508689,0.982159090909091,1.97541954714011,2.54e-06,2.43e-11
"GSM363238","Control",8.808,6.311,0.448311363636364,1.36444227816514,-0.451840909090909,0.731109341678863,2.54e-06,2.43e-11
"GSM363240","Control",8.796,6.516,0.436311363636364,1.35314023538304,-0.246840909090909,0.842739756170331,2.54e-06,2.43e-11
"GSM363242","Control",8.3005,6.812,-0.0591886363636362,0.959803755840416,0.0491590909090913,1.03466167090419,2.54e-06,2.43e-11
"GSM363244","Control",8.6915,7.177,0.331811363636364,1.25859259828528,0.414159090909091,1.33252175871545,2.54e-06,2.43e-11
"GSM363246","Control",8.7545,6.623,0.394811363636364,1.31477083904502,-0.139840909090909,0.907619236071699,2.54e-06,2.43e-11
"GSM363248","Control",8.548,6.949,0.188311363636364,1.13942926325303,0.186159090909091,1.13773068240303,2.54e-06,2.43e-11
"GSM363250","Control",8.416,6.937,0.0563113636363646,1.03980382228121,0.174159090909091,1.12830655281338,2.54e-06,2.43e-11
"GSM363252","Control",8.4475,6.378,0.087811363636364,1.06275670689709,-0.384840909090909,0.765863448268759,2.54e-06,2.43e-11
"GSM363253","Control",8.5405,6.722,0.180811363636364,1.13352119206003,-0.0408409090909085,0.972088177554271,2.54e-06,2.43e-11
